#{"t_start": 1747715617.703586, "env_id": "CartPole-v1"}
r,l,t
10.0,10,10.923803
21.0,21,10.931456
18.0,18,10.939639
14.0,14,10.944316
13.0,13,10.949507
19.0,19,10.956977
15.0,15,10.962705
14.0,14,10.968141
15.0,15,10.973863
15.0,15,10.979565
15.0,15,10.985144
21.0,21,10.992698
16.0,16,10.998479
14.0,14,11.023328
22.0,22,11.031375
21.0,21,11.040169
19.0,19,11.047605
23.0,23,11.056657
31.0,31,11.068166
26.0,26,11.077657
21.0,21,11.085421
22.0,22,11.094149
24.0,24,11.103312
23.0,23,11.111349
25.0,25,11.12076
19.0,19,11.12956
16.0,16,11.137246
17.0,17,11.148049
21.0,21,11.156937
18.0,18,11.164659
24.0,24,11.175306
15.0,15,11.181171
25.0,25,11.190566
17.0,17,11.197563
25.0,25,11.207059
19.0,19,11.213494
25.0,25,11.225243
16.0,16,11.232426
16.0,16,11.23837
23.0,23,11.247591
16.0,16,11.254504
15.0,15,11.260569
23.0,23,11.268807
18.0,18,11.275958
25.0,25,11.285347
35.0,35,11.298534
22.0,22,11.306703
19.0,19,11.313932
16.0,16,11.319737
17.0,17,11.326727
15.0,15,11.33234
27.0,27,11.342144
19.0,19,11.349441
29.0,29,11.361451
23.0,23,11.369862
23.0,23,11.379014
17.0,17,11.384987
18.0,18,11.392095
19.0,19,11.399487
16.0,16,11.405299
16.0,16,11.411249
19.0,19,11.436276
18.0,18,11.442807
20.0,20,11.450439
16.0,16,11.457154
19.0,19,11.464718
20.0,20,11.472355
15.0,15,11.477924
22.0,22,11.486871
20.0,20,11.494463
25.0,25,11.503854
20.0,20,11.511411
27.0,27,11.521123
23.0,23,11.530172
28.0,28,11.540068
33.0,33,11.552968
28.0,28,11.563888
21.0,21,11.572805
25.0,25,11.582563
21.0,21,11.590376
19.0,19,11.597663
15.0,15,11.603216
23.0,23,11.611315
26.0,26,11.621792
25.0,25,11.634035
23.0,23,11.642391
17.0,17,11.649427
16.0,16,11.6553
18.0,18,11.661489
20.0,20,11.669102
22.0,22,11.679041
14.0,14,11.684625
20.0,20,11.692105
19.0,19,11.698502
21.0,21,11.707105
19.0,19,11.713495
22.0,22,11.722378
17.0,17,11.728469
21.0,21,11.736135
12.0,12,11.741257
17.0,17,11.747268
15.0,15,11.752924
18.0,18,11.760156
17.0,17,11.766155
20.0,20,11.773779
17.0,17,11.782394
22.0,22,11.790361
21.0,21,11.798149
15.0,15,11.803741
14.0,14,11.809231
17.0,17,11.81523
25.0,25,11.842021
23.0,23,11.851162
19.0,19,11.85856
29.0,29,11.869676
23.0,23,11.877734
22.0,22,11.887563
28.0,28,11.897619
23.0,23,11.906672
19.0,19,11.913968
17.0,17,11.919907
21.0,21,11.927595
22.0,22,11.93653
20.0,20,11.944154
17.0,17,11.950133
28.0,28,11.961021
16.0,16,11.966938
22.0,22,11.974804
17.0,17,11.982046
21.0,21,11.990912
18.0,18,11.997445
15.0,15,12.002999
21.0,21,12.011663
13.0,13,12.015931
18.0,18,12.023046
13.0,13,12.027283
16.0,16,12.036675
14.0,14,12.041171
16.0,16,12.048042
25.0,25,12.057461
22.0,22,12.065393
33.0,33,12.078254
20.0,20,12.085716
24.0,24,12.094972
24.0,24,12.104428
24.0,24,12.113624
28.0,28,12.124579
27.0,27,12.134294
32.0,32,12.14593
44.0,44,12.162579
37.0,37,12.177253
27.0,27,12.18717
39.0,39,12.203269
31.0,31,12.214675
32.0,32,12.253781
26.0,26,12.264736
39.0,39,12.278488
43.0,43,12.295013
33.0,33,12.308817
35.0,35,12.321904
25.0,25,12.331244
30.0,30,12.342519
35.0,35,12.355674
48.0,48,12.372968
54.0,54,12.393646
41.0,41,12.408774
48.0,48,12.428146
54.0,54,12.451005
35.0,35,12.464218
48.0,48,12.481672
43.0,43,12.498182
50.0,50,12.52018
56.0,56,12.546149
64.0,64,12.572404
54.0,54,12.594633
40.0,40,12.610801
38.0,38,12.626523
52.0,52,12.686695
39.0,39,12.700972
55.0,55,12.721854
57.0,57,12.745843
46.0,46,12.763032
85.0,85,12.79468
59.0,59,12.816821
61.0,61,12.84162
50.0,50,12.860232
65.0,65,12.887136
46.0,46,12.904296
57.0,57,12.92624
79.0,79,12.956318
68.0,68,12.982224
82.0,82,13.012398
128.0,128,13.062333
61.0,61,13.171138
91.0,91,13.209511
84.0,84,13.242753
68.0,68,13.270452
81.0,81,13.3014
137.0,137,13.355003
184.0,184,13.425779
197.0,197,13.502083
196.0,196,13.750757
168.0,168,13.814475
172.0,172,13.87992
220.0,220,13.966697
174.0,174,14.033694
144.0,144,14.089217
154.0,154,14.241998
198.0,198,14.318036
325.0,325,14.443756
479.0,479,14.794198
179.0,179,14.861551
182.0,182,14.930515
237.0,237,15.02276
126.0,126,15.070768
127.0,127,15.126954
145.0,145,15.309609
169.0,169,15.375381
227.0,227,15.464776
227.0,227,15.55287
166.0,166,15.6182
151.0,151,15.769766
184.0,184,15.841067
151.0,151,15.898544
149.0,149,15.958798
120.0,120,16.004231
140.0,140,16.05877
96.0,96,16.095011
117.0,117,16.231736
152.0,152,16.295172
112.0,112,16.340579
143.0,143,16.395817
154.0,154,16.457876
155.0,155,16.516585
155.0,155,16.576942
162.0,162,16.73651
107.0,107,16.777105
144.0,144,16.831904
146.0,146,16.888369
116.0,116,16.93484
128.0,128,16.984957
102.0,102,17.022933
23.0,23,17.032041
96.0,96,17.069605
95.0,95,17.105816
92.0,92,17.204292
93.0,93,17.238569
91.0,91,17.272636
63.0,63,17.301199
61.0,61,17.328127
69.0,69,17.355403
27.0,27,17.365395
50.0,50,17.39047
50.0,50,17.411523
38.0,38,17.427839
25.0,25,17.438315
24.0,24,17.448523
86.0,86,17.48873
82.0,82,17.52802
66.0,66,17.554159
116.0,116,17.703669
182.0,182,17.772719
135.0,135,17.825104
135.0,135,17.876772
173.0,173,17.946373
191.0,191,18.020157
140.0,140,18.073396
277.0,277,18.427158
476.0,476,18.614729
500.0,500,19.110671
376.0,376,19.257232
497.0,497,19.760942
22.0,22,19.769962
500.0,500,19.964307
500.0,500,20.462622
500.0,500,20.656195
500.0,500,21.154201
500.0,500,21.350107
500.0,500,21.855456
500.0,500,22.050674
500.0,500,22.543576
500.0,500,22.737709
500.0,500,23.227421
500.0,500,23.422408
500.0,500,23.931612
500.0,500,24.131631
500.0,500,24.632961
500.0,500,24.829949
500.0,500,25.33166
500.0,500,25.536691
500.0,500,26.033433
500.0,500,26.230247
500.0,500,26.734036
500.0,500,26.928882
500.0,500,27.42935
500.0,500,27.633888
500.0,500,28.128996
500.0,500,28.324257
500.0,500,28.827624
